Generating tablized rouge results from
input file: "results/D2_rouge_scores.out"
local time: 2018-04-23 20:38:32 

note: printing 'average' lines for table validation

0002: avg_line: "9 ROUGE-1 Average_R: 0.16196 (95%-conf.int. 0.14369 - 0.18084)"
0003: avg_line: "9 ROUGE-1 Average_P: 0.20005 (95%-conf.int. 0.17837 - 0.22189)"
0004: avg_line: "9 ROUGE-1 Average_F: 0.17844 (95%-conf.int. 0.15857 - 0.19836)"
0053: avg_line: "9 ROUGE-2 Average_R: 0.03677 (95%-conf.int. 0.02824 - 0.04584)"
0054: avg_line: "9 ROUGE-2 Average_P: 0.04512 (95%-conf.int. 0.03454 - 0.05606)"
0055: avg_line: "9 ROUGE-2 Average_F: 0.04039 (95%-conf.int. 0.03094 - 0.05021)"
0104: avg_line: "9 ROUGE-3 Average_R: 0.01115 (95%-conf.int. 0.00763 - 0.01516)"
0105: avg_line: "9 ROUGE-3 Average_P: 0.01391 (95%-conf.int. 0.00949 - 0.01899)"
0106: avg_line: "9 ROUGE-3 Average_F: 0.01234 (95%-conf.int. 0.00847 - 0.01679)"
0155: avg_line: "9 ROUGE-4 Average_R: 0.00279 (95%-conf.int. 0.00129 - 0.00452)"
0156: avg_line: "9 ROUGE-4 Average_P: 0.00348 (95%-conf.int. 0.00163 - 0.00552)"
0157: avg_line: "9 ROUGE-4 Average_F: 0.00309 (95%-conf.int. 0.00143 - 0.00496)"

--- Averages ---
,Averages,a.ROUGE,b.PREC,c.F-SCORE
,ROUGE-1,0.16196,0.20005,0.17844
,ROUGE-2,0.03677,0.04512,0.04039
,ROUGE-3,0.01115,0.01391,0.01234
,ROUGE-4,0.00279,0.00348,0.00309
----------------

--- ROUGE-1 ---
,ROUGE-1,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.15638,0.19388,0.17312
,D1002-A.M.100.A.9,0.21757,0.25,0.23266
,D1003-A.M.100.A.9,0.18182,0.19444,0.18792
,D1004-A.M.100.A.9,0.10744,0.11818,0.11255
,D1005-A.M.100.A.9,0.19262,0.21364,0.20259
,D1006-A.M.100.A.9,0.16092,0.23864,0.19222
,D1007-A.M.100.B.9,0.23556,0.265,0.24941
,D1008-A.M.100.B.9,0.07661,0.09314,0.08407
,D1009-A.M.100.B.9,0.20354,0.23469,0.21801
,D1010-A.M.100.B.9,0.144,0.18,0.16
,D1011-A.M.100.C.9,0.08621,0.09259,0.08929
,D1012-A.M.100.C.9,0.23171,0.27404,0.2511
,D1013-A.M.100.C.9,0.06827,0.09043,0.0778
,D1014-A.M.100.C.9,0.12971,0.14904,0.1387
,D1015-A.M.100.C.9,0.14717,0.2378,0.18182
,D1016-A.M.100.C.9,0.20628,0.22549,0.21546
,D1017-A.M.100.D.9,0.15918,0.23214,0.18886
,D1018-A.M.100.D.9,0.15481,0.22561,0.18362
,D1019-A.M.100.D.9,0.2375,0.32386,0.27404
,D1020-A.M.100.D.9,0.13223,0.18182,0.15311
,D1021-A.M.100.D.9,0.10593,0.15625,0.12626
,D1022-A.M.100.D.9,0.14226,0.19318,0.16386
,D1023-A.M.100.E.9,0.09917,0.13953,0.11594
,D1024-A.M.100.E.9,0.0625,0.07812,0.06944
,D1025-A.M.100.E.9,0.17257,0.19898,0.18484
,D1026-A.M.100.E.9,0.09829,0.09914,0.09871
,D1027-A.M.100.E.9,0.3373,0.38636,0.36017
,D1028-A.M.100.E.9,0.2,0.22642,0.21239
,D1029-A.M.100.F.9,0.21667,0.24528,0.23009
,D1030-A.M.100.F.9,0.03968,0.05319,0.04545
,D1031-A.M.100.F.9,0.10612,0.11818,0.11183
,D1032-A.M.100.F.9,0.26718,0.36458,0.30837
,D1033-A.M.100.F.9,0.15702,0.16964,0.16309
,D1034-A.M.100.F.9,0.06584,0.09524,0.07786
,D1035-A.M.100.G.9,0.15041,0.18137,0.16445
,D1036-A.M.100.G.9,0.09388,0.14024,0.11247
