Generating tableized rouge results from
input file: "results/D3_rouge_scores.out"
local time: 2018-05-14 22:06:36 

note: printing 'average' lines for table validation

0002: avg_line: "9 ROUGE-1 Average_R: 0.24428 (95%-conf.int. 0.22422 - 0.26436)"
0003: avg_line: "9 ROUGE-1 Average_P: 0.25572 (95%-conf.int. 0.23509 - 0.27413)"
0004: avg_line: "9 ROUGE-1 Average_F: 0.24923 (95%-conf.int. 0.22927 - 0.26818)"
0053: avg_line: "9 ROUGE-2 Average_R: 0.06012 (95%-conf.int. 0.05027 - 0.07016)"
0054: avg_line: "9 ROUGE-2 Average_P: 0.06210 (95%-conf.int. 0.05237 - 0.07211)"
0055: avg_line: "9 ROUGE-2 Average_F: 0.06096 (95%-conf.int. 0.05121 - 0.07091)"
0104: avg_line: "9 ROUGE-3 Average_R: 0.01683 (95%-conf.int. 0.01182 - 0.02222)"
0105: avg_line: "9 ROUGE-3 Average_P: 0.01736 (95%-conf.int. 0.01237 - 0.02266)"
0106: avg_line: "9 ROUGE-3 Average_F: 0.01705 (95%-conf.int. 0.01203 - 0.02236)"
0155: avg_line: "9 ROUGE-4 Average_R: 0.00541 (95%-conf.int. 0.00265 - 0.00878)"
0156: avg_line: "9 ROUGE-4 Average_P: 0.00549 (95%-conf.int. 0.00273 - 0.00877)"
0157: avg_line: "9 ROUGE-4 Average_F: 0.00544 (95%-conf.int. 0.00271 - 0.00878)"

--- Averages ---
,Averages,a.RECALL,b.PREC,c.F-SCORE
,ROUGE-1,0.24428,0.25572,0.24923
,ROUGE-2,0.06012,0.06210,0.06096
,ROUGE-3,0.01683,0.01736,0.01705
,ROUGE-4,0.00541,0.00549,0.00544
----------------

--- ROUGE-1 ---
,ROUGE-1,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.26749,0.26639,0.26694
,D1002-A.M.100.A.9,0.29289,0.32407,0.30769
,D1003-A.M.100.A.9,0.25974,0.23438,0.24641
,D1004-A.M.100.A.9,0.22314,0.22131,0.22222
,D1005-A.M.100.A.9,0.2582,0.26695,0.2625
,D1006-A.M.100.A.9,0.17241,0.225,0.19523
,D1007-A.M.100.B.9,0.29778,0.27917,0.28817
,D1008-A.M.100.B.9,0.14919,0.16818,0.15812
,D1009-A.M.100.B.9,0.26549,0.28302,0.27397
,D1010-A.M.100.B.9,0.272,0.25,0.26054
,D1011-A.M.100.C.9,0.14224,0.14474,0.14348
,D1012-A.M.100.C.9,0.26016,0.27586,0.26778
,D1013-A.M.100.C.9,0.12048,0.14423,0.13129
,D1014-A.M.100.C.9,0.12971,0.16489,0.1452
,D1015-A.M.100.C.9,0.16604,0.18966,0.17707
,D1016-A.M.100.C.9,0.26009,0.24167,0.25054
,D1017-A.M.100.D.9,0.26531,0.29545,0.27957
,D1018-A.M.100.D.9,0.16318,0.21196,0.1844
,D1019-A.M.100.D.9,0.36667,0.36066,0.36364
,D1020-A.M.100.D.9,0.17355,0.19091,0.18182
,D1021-A.M.100.D.9,0.36864,0.38839,0.37826
,D1022-A.M.100.D.9,0.31799,0.29688,0.30707
,D1023-A.M.100.E.9,0.28099,0.30357,0.29184
,D1024-A.M.100.E.9,0.36667,0.36667,0.36667
,D1025-A.M.100.E.9,0.22124,0.2907,0.25126
,D1026-A.M.100.E.9,0.12821,0.12931,0.12876
,D1027-A.M.100.E.9,0.28968,0.28077,0.28516
,D1028-A.M.100.E.9,0.34167,0.33065,0.33607
,D1029-A.M.100.F.9,0.2375,0.25909,0.24783
,D1030-A.M.100.F.9,0.15873,0.18519,0.17094
,D1031-A.M.100.F.9,0.15102,0.15417,0.15258
,D1032-A.M.100.F.9,0.29389,0.34375,0.31687
,D1033-A.M.100.F.9,0.30165,0.24333,0.26937
,D1034-A.M.100.F.9,0.22222,0.22881,0.22547
,D1035-A.M.100.G.9,0.1626,0.18519,0.17316
,D1036-A.M.100.G.9,0.26122,0.27119,0.26611
,D1037-A.M.100.G.9,0.1713,0.16818,0.16973
,D1038-A.M.100.G.9,0.21961,0.28,0.24616
,D1039-A.M.100.G.9,0.35918,0.39286,0.37527
,D1040-A.M.100.G.9,0.27234,0.27586,0.27409
,D1041-A.M.100.H.9,0.24803,0.27155,0.25926
,D1042-A.M.100.H.9,0.34529,0.3319,0.33846
,D1043-A.M.100.H.9,0.28814,0.28333,0.28571
,D1044-A.M.100.H.9,0.3038,0.33962,0.32071
,D1045-A.M.100.H.9,0.22835,0.22308,0.22568
,D1046-A.M.100.H.9,0.21654,0.22177,0.21912
----------------

--- ROUGE-2 ---
,ROUGE-2,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.07113,0.07083,0.07098
,D1002-A.M.100.A.9,0.0766,0.08491,0.08054
,D1003-A.M.100.A.9,0.05727,0.05159,0.05428
,D1004-A.M.100.A.9,0.04622,0.04583,0.04602
,D1005-A.M.100.A.9,0.07917,0.0819,0.08051
,D1006-A.M.100.A.9,0.00389,0.0051,0.00441
,D1007-A.M.100.B.9,0.08145,0.07627,0.07877
,D1008-A.M.100.B.9,0.02459,0.02778,0.02609
,D1009-A.M.100.B.9,0.06757,0.07212,0.06977
,D1010-A.M.100.B.9,0.0935,0.08582,0.0895
,D1011-A.M.100.C.9,0.02193,0.02232,0.02212
,D1012-A.M.100.C.9,0.04959,0.05263,0.05106
,D1013-A.M.100.C.9,0.04082,0.04902,0.04455
,D1014-A.M.100.C.9,0.0,0.0,0.0
,D1015-A.M.100.C.9,0.04215,0.04825,0.04499
,D1016-A.M.100.C.9,0.06393,0.05932,0.06154
,D1017-A.M.100.D.9,0.03734,0.04167,0.03939
,D1018-A.M.100.D.9,0.01702,0.02222,0.01928
,D1019-A.M.100.D.9,0.07627,0.075,0.07563
,D1020-A.M.100.D.9,0.04622,0.05093,0.04846
,D1021-A.M.100.D.9,0.13793,0.14545,0.14159
,D1022-A.M.100.D.9,0.08085,0.0754,0.07803
,D1023-A.M.100.E.9,0.05462,0.05909,0.05677
,D1024-A.M.100.E.9,0.12712,0.12712,0.12712
,D1025-A.M.100.E.9,0.03604,0.04762,0.04103
,D1026-A.M.100.E.9,0.0087,0.00877,0.00873
,D1027-A.M.100.E.9,0.08065,0.07812,0.07936
,D1028-A.M.100.E.9,0.12288,0.11885,0.12083
,D1029-A.M.100.F.9,0.0339,0.03704,0.0354
,D1030-A.M.100.F.9,0.00806,0.00943,0.00869
,D1031-A.M.100.F.9,0.02905,0.02966,0.02935
,D1032-A.M.100.F.9,0.0814,0.09545,0.08787
,D1033-A.M.100.F.9,0.07983,0.06419,0.07116
,D1034-A.M.100.F.9,0.06276,0.06466,0.0637
,D1035-A.M.100.G.9,0.03306,0.03774,0.03525
,D1036-A.M.100.G.9,0.04149,0.0431,0.04228
,D1037-A.M.100.G.9,0.0283,0.02778,0.02804
,D1038-A.M.100.G.9,0.06773,0.08673,0.07606
,D1039-A.M.100.G.9,0.12448,0.13636,0.13015
,D1040-A.M.100.G.9,0.09524,0.09649,0.09586
,D1041-A.M.100.H.9,0.088,0.09649,0.09205
,D1042-A.M.100.H.9,0.10959,0.10526,0.10738
,D1043-A.M.100.H.9,0.11207,0.11017,0.11111
,D1044-A.M.100.H.9,0.06438,0.07212,0.06803
,D1045-A.M.100.H.9,0.056,0.05469,0.05534
,D1046-A.M.100.H.9,0.02,0.02049,0.02024
----------------

--- ROUGE-3 ---
,ROUGE-3,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.01702,0.01695,0.01698
,D1002-A.M.100.A.9,0.02597,0.02885,0.02733
,D1003-A.M.100.A.9,0.00448,0.00403,0.00424
,D1004-A.M.100.A.9,0.00427,0.00424,0.00425
,D1005-A.M.100.A.9,0.03814,0.03947,0.03879
,D1006-A.M.100.A.9,0.0,0.0,0.0
,D1007-A.M.100.B.9,0.01382,0.01293,0.01336
,D1008-A.M.100.B.9,0.0,0.0,0.0
,D1009-A.M.100.B.9,0.01835,0.01961,0.01896
,D1010-A.M.100.B.9,0.06198,0.05682,0.05929
,D1011-A.M.100.C.9,0.0,0.0,0.0
,D1012-A.M.100.C.9,0.0042,0.00446,0.00433
,D1013-A.M.100.C.9,0.0083,0.01,0.00907
,D1014-A.M.100.C.9,0.0,0.0,0.0
,D1015-A.M.100.C.9,0.01167,0.01339,0.01247
,D1016-A.M.100.C.9,0.01395,0.01293,0.01342
,D1017-A.M.100.D.9,0.0,0.0,0.0
,D1018-A.M.100.D.9,0.0,0.0,0.0
,D1019-A.M.100.D.9,0.00862,0.00847,0.00854
,D1020-A.M.100.D.9,0.01282,0.01415,0.01345
,D1021-A.M.100.D.9,0.04825,0.05093,0.04955
,D1022-A.M.100.D.9,0.01299,0.0121,0.01253
,D1023-A.M.100.E.9,0.01282,0.01389,0.01333
,D1024-A.M.100.E.9,0.03879,0.03879,0.03879
,D1025-A.M.100.E.9,0.01376,0.01829,0.0157
,D1026-A.M.100.E.9,0.0,0.0,0.0
,D1027-A.M.100.E.9,0.0123,0.0119,0.0121
,D1028-A.M.100.E.9,0.05603,0.05417,0.05508
,D1029-A.M.100.F.9,0.00862,0.00943,0.00901
,D1030-A.M.100.F.9,0.0,0.0,0.0
,D1031-A.M.100.F.9,0.00844,0.00862,0.00853
,D1032-A.M.100.F.9,0.03543,0.04167,0.0383
,D1033-A.M.100.F.9,0.02991,0.02397,0.02661
,D1034-A.M.100.F.9,0.00851,0.00877,0.00864
,D1035-A.M.100.G.9,0.0084,0.00962,0.00897
,D1036-A.M.100.G.9,0.0,0.0,0.0
,D1037-A.M.100.G.9,0.0,0.0,0.0
,D1038-A.M.100.G.9,0.02834,0.03646,0.03189
,D1039-A.M.100.G.9,0.05063,0.05556,0.05298
,D1040-A.M.100.G.9,0.02203,0.02232,0.02217
,D1041-A.M.100.H.9,0.02439,0.02679,0.02553
,D1042-A.M.100.H.9,0.0186,0.01786,0.01822
,D1043-A.M.100.H.9,0.07018,0.06897,0.06957
,D1044-A.M.100.H.9,0.00873,0.0098,0.00923
,D1045-A.M.100.H.9,0.02033,0.01984,0.02008
,D1046-A.M.100.H.9,0.0,0.0,0.0
----------------

--- ROUGE-4 ---
,ROUGE-4,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.0,0.0,0.0
,D1002-A.M.100.A.9,0.00881,0.0098,0.00928
,D1003-A.M.100.A.9,0.0,0.0,0.0
,D1004-A.M.100.A.9,0.0,0.0,0.0
,D1005-A.M.100.A.9,0.00862,0.00893,0.00877
,D1006-A.M.100.A.9,0.0,0.0,0.0
,D1007-A.M.100.B.9,0.00469,0.00439,0.00454
,D1008-A.M.100.B.9,0.0,0.0,0.0
,D1009-A.M.100.B.9,0.00935,0.01,0.00966
,D1010-A.M.100.B.9,0.04622,0.04231,0.04418
,D1011-A.M.100.C.9,0.0,0.0,0.0
,D1012-A.M.100.C.9,0.0,0.0,0.0
,D1013-A.M.100.C.9,0.0,0.0,0.0
,D1014-A.M.100.C.9,0.0,0.0,0.0
,D1015-A.M.100.C.9,0.0,0.0,0.0
,D1016-A.M.100.C.9,0.0,0.0,0.0
,D1017-A.M.100.D.9,0.0,0.0,0.0
,D1018-A.M.100.D.9,0.0,0.0,0.0
,D1019-A.M.100.D.9,0.00439,0.00431,0.00435
,D1020-A.M.100.D.9,0.00435,0.00481,0.00457
,D1021-A.M.100.D.9,0.02232,0.02358,0.02293
,D1022-A.M.100.D.9,0.0,0.0,0.0
,D1023-A.M.100.E.9,0.00435,0.00472,0.00453
,D1024-A.M.100.E.9,0.00439,0.00439,0.00439
,D1025-A.M.100.E.9,0.0,0.0,0.0
,D1026-A.M.100.E.9,0.0,0.0,0.0
,D1027-A.M.100.E.9,0.0,0.0,0.0
,D1028-A.M.100.E.9,0.02632,0.02542,0.02586
,D1029-A.M.100.F.9,0.0,0.0,0.0
,D1030-A.M.100.F.9,0.0,0.0,0.0
,D1031-A.M.100.F.9,0.0,0.0,0.0
,D1032-A.M.100.F.9,0.012,0.01415,0.01299
,D1033-A.M.100.F.9,0.0087,0.00694,0.00772
,D1034-A.M.100.F.9,0.0,0.0,0.0
,D1035-A.M.100.G.9,0.0,0.0,0.0
,D1036-A.M.100.G.9,0.0,0.0,0.0
,D1037-A.M.100.G.9,0.0,0.0,0.0
,D1038-A.M.100.G.9,0.00823,0.01064,0.00928
,D1039-A.M.100.G.9,0.02146,0.02358,0.02247
,D1040-A.M.100.G.9,0.0,0.0,0.0
,D1041-A.M.100.H.9,0.00826,0.00909,0.00866
,D1042-A.M.100.H.9,0.0,0.0,0.0
,D1043-A.M.100.H.9,0.04464,0.04386,0.04425
,D1044-A.M.100.H.9,0.0,0.0,0.0
,D1045-A.M.100.H.9,0.00413,0.00403,0.00408
,D1046-A.M.100.H.9,0.0,0.0,0.0
----------------
