Generating tableized rouge results from
input file: "results/D3jg_rouge_scores.out"
local time: 2018-05-21 17:19:34 

note: printing 'average' lines for table validation

0002: avg_line: "9 ROUGE-1 Average_R: 0.26919 (95%-conf.int. 0.25041 - 0.28797)"
0003: avg_line: "9 ROUGE-1 Average_P: 0.28255 (95%-conf.int. 0.26446 - 0.30178)"
0004: avg_line: "9 ROUGE-1 Average_F: 0.27525 (95%-conf.int. 0.25714 - 0.29397)"
0053: avg_line: "9 ROUGE-2 Average_R: 0.06918 (95%-conf.int. 0.05959 - 0.07892)"
0054: avg_line: "9 ROUGE-2 Average_P: 0.07227 (95%-conf.int. 0.06310 - 0.08202)"
0055: avg_line: "9 ROUGE-2 Average_F: 0.07057 (95%-conf.int. 0.06126 - 0.08042)"
0104: avg_line: "9 ROUGE-3 Average_R: 0.02129 (95%-conf.int. 0.01589 - 0.02728)"
0105: avg_line: "9 ROUGE-3 Average_P: 0.02214 (95%-conf.int. 0.01680 - 0.02799)"
0106: avg_line: "9 ROUGE-3 Average_F: 0.02167 (95%-conf.int. 0.01635 - 0.02758)"
0155: avg_line: "9 ROUGE-4 Average_R: 0.00738 (95%-conf.int. 0.00420 - 0.01105)"
0156: avg_line: "9 ROUGE-4 Average_P: 0.00760 (95%-conf.int. 0.00441 - 0.01128)"
0157: avg_line: "9 ROUGE-4 Average_F: 0.00748 (95%-conf.int. 0.00428 - 0.01115)"

--- Averages ---
,Averages,a.RECALL,b.PREC,c.F-SCORE
,ROUGE-1,0.26919,0.28255,0.27525
,ROUGE-2,0.06918,0.07227,0.07057
,ROUGE-3,0.02129,0.02214,0.02167
,ROUGE-4,0.00738,0.00760,0.00748
----------------

--- ROUGE-1 ---
,ROUGE-1,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.30864,0.34722,0.3268
,D1002-A.M.100.A.9,0.20921,0.23585,0.22173
,D1003-A.M.100.A.9,0.26407,0.23106,0.24646
,D1004-A.M.100.A.9,0.30579,0.29365,0.2996
,D1005-A.M.100.A.9,0.22131,0.24107,0.23077
,D1006-A.M.100.A.9,0.21839,0.24569,0.23124
,D1007-A.M.100.B.9,0.31556,0.3114,0.31347
,D1008-A.M.100.B.9,0.22177,0.25,0.23504
,D1009-A.M.100.B.9,0.35398,0.38462,0.36866
,D1010-A.M.100.B.9,0.296,0.31356,0.30453
,D1011-A.M.100.C.9,0.17672,0.17982,0.17826
,D1012-A.M.100.C.9,0.30488,0.35377,0.32751
,D1013-A.M.100.C.9,0.18474,0.20536,0.19451
,D1014-A.M.100.C.9,0.21339,0.22768,0.2203
,D1015-A.M.100.C.9,0.17736,0.18952,0.18324
,D1016-A.M.100.C.9,0.3139,0.30702,0.31042
,D1017-A.M.100.D.9,0.24898,0.27232,0.26013
,D1018-A.M.100.D.9,0.33473,0.30769,0.32064
,D1019-A.M.100.D.9,0.35,0.38182,0.36522
,D1020-A.M.100.D.9,0.21901,0.22845,0.22363
,D1021-A.M.100.D.9,0.34746,0.34746,0.34746
,D1022-A.M.100.D.9,0.40167,0.38095,0.39104
,D1023-A.M.100.E.9,0.28512,0.29741,0.29114
,D1024-A.M.100.E.9,0.26667,0.25397,0.26017
,D1025-A.M.100.E.9,0.24336,0.25943,0.25114
,D1026-A.M.100.E.9,0.17521,0.16532,0.17012
,D1027-A.M.100.E.9,0.46825,0.46094,0.46457
,D1028-A.M.100.E.9,0.2625,0.27632,0.26923
,D1029-A.M.100.F.9,0.29167,0.26923,0.28
,D1030-A.M.100.F.9,0.17857,0.20455,0.19068
,D1031-A.M.100.F.9,0.1551,0.15833,0.1567
,D1032-A.M.100.F.9,0.32824,0.39091,0.35684
,D1033-A.M.100.F.9,0.33471,0.29779,0.31517
