Generating tableized rouge results from
input file: "results/D4_devtest_rouge_scores.out"
local time: 2018-05-31 16:53:52 

note: printing 'average' lines for table validation

0002: avg_line: "9 ROUGE-1 Average_R: 0.27873 (95%-conf.int. 0.25797 - 0.30017)"
0003: avg_line: "9 ROUGE-1 Average_P: 0.29114 (95%-conf.int. 0.27191 - 0.31118)"
0004: avg_line: "9 ROUGE-1 Average_F: 0.28432 (95%-conf.int. 0.26497 - 0.30507)"
0053: avg_line: "9 ROUGE-2 Average_R: 0.07790 (95%-conf.int. 0.06462 - 0.09090)"
0054: avg_line: "9 ROUGE-2 Average_P: 0.08061 (95%-conf.int. 0.06773 - 0.09415)"
0055: avg_line: "9 ROUGE-2 Average_F: 0.07911 (95%-conf.int. 0.06599 - 0.09230)"
0104: avg_line: "9 ROUGE-3 Average_R: 0.02694 (95%-conf.int. 0.01937 - 0.03398)"
0105: avg_line: "9 ROUGE-3 Average_P: 0.02764 (95%-conf.int. 0.02009 - 0.03482)"
0106: avg_line: "9 ROUGE-3 Average_F: 0.02725 (95%-conf.int. 0.01975 - 0.03429)"
0155: avg_line: "9 ROUGE-4 Average_R: 0.00988 (95%-conf.int. 0.00590 - 0.01426)"
0156: avg_line: "9 ROUGE-4 Average_P: 0.00999 (95%-conf.int. 0.00614 - 0.01419)"
0157: avg_line: "9 ROUGE-4 Average_F: 0.00992 (95%-conf.int. 0.00603 - 0.01418)"

--- Averages ---
,Averages,a.RECALL,b.PREC,c.F-SCORE
,ROUGE-1,0.27873,0.29114,0.28432
,ROUGE-2,0.07790,0.08061,0.07911
,ROUGE-3,0.02694,0.02764,0.02725
,ROUGE-4,0.00988,0.00999,0.00992
----------------

--- ROUGE-1 ---
,ROUGE-1,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.31276,0.32203,0.31733
,D1002-A.M.100.A.9,0.33054,0.35268,0.34125
,D1003-A.M.100.A.9,0.26407,0.23106,0.24646
,D1004-A.M.100.A.9,0.31818,0.32083,0.3195
,D1005-A.M.100.A.9,0.22131,0.24107,0.23077
,D1006-A.M.100.A.9,0.29885,0.33051,0.31388
,D1007-A.M.100.B.9,0.28,0.315,0.29647
,D1008-A.M.100.B.9,0.22984,0.24569,0.2375
,D1009-A.M.100.B.9,0.39381,0.39732,0.39556
,D1010-A.M.100.B.9,0.312,0.31452,0.31325
,D1011-A.M.100.C.9,0.20259,0.24479,0.2217
,D1012-A.M.100.C.9,0.34959,0.37069,0.35983
,D1013-A.M.100.C.9,0.18876,0.19915,0.19382
,D1014-A.M.100.C.9,0.18828,0.21226,0.19955
,D1015-A.M.100.C.9,0.23019,0.24206,0.23598
,D1016-A.M.100.C.9,0.24664,0.24554,0.24609
,D1017-A.M.100.D.9,0.22449,0.22177,0.22312
,D1018-A.M.100.D.9,0.33054,0.29478,0.31164
,D1019-A.M.100.D.9,0.35,0.38182,0.36522
,D1020-A.M.100.D.9,0.19421,0.21759,0.20524
,D1021-A.M.100.D.9,0.40254,0.44811,0.4241
,D1022-A.M.100.D.9,0.35146,0.375,0.36285
,D1023-A.M.100.E.9,0.2438,0.25,0.24686
,D1024-A.M.100.E.9,0.42917,0.42917,0.42917
,D1025-A.M.100.E.9,0.36283,0.33065,0.34599
,D1026-A.M.100.E.9,0.18803,0.21569,0.20091
,D1027-A.M.100.E.9,0.46825,0.46094,0.46457
,D1028-A.M.100.E.9,0.31667,0.31148,0.31405
,D1029-A.M.100.F.9,0.29167,0.26923,0.28
,D1030-A.M.100.F.9,0.25397,0.2807,0.26667
,D1031-A.M.100.F.9,0.1551,0.16379,0.15933
,D1032-A.M.100.F.9,0.30153,0.35909,0.3278
,D1033-A.M.100.F.9,0.31405,0.27941,0.29572
,D1034-A.M.100.F.9,0.16049,0.1875,0.17295
,D1035-A.M.100.G.9,0.23577,0.29,0.26009
