Generating tableized rouge results from
input file: "results/D4_evaltest_rouge_scores.out"
local time: 2018-05-31 16:54:16 

note: printing 'average' lines for table validation

0002: avg_line: "9 ROUGE-1 Average_R: 0.30670 (95%-conf.int. 0.28675 - 0.32606)"
0003: avg_line: "9 ROUGE-1 Average_P: 0.31478 (95%-conf.int. 0.29628 - 0.33264)"
0004: avg_line: "9 ROUGE-1 Average_F: 0.31020 (95%-conf.int. 0.29137 - 0.32852)"
0051: avg_line: "9 ROUGE-2 Average_R: 0.08309 (95%-conf.int. 0.06950 - 0.09704)"
0052: avg_line: "9 ROUGE-2 Average_P: 0.08492 (95%-conf.int. 0.07208 - 0.09816)"
0053: avg_line: "9 ROUGE-2 Average_F: 0.08384 (95%-conf.int. 0.07044 - 0.09734)"
0100: avg_line: "9 ROUGE-3 Average_R: 0.02765 (95%-conf.int. 0.01892 - 0.03824)"
0101: avg_line: "9 ROUGE-3 Average_P: 0.02800 (95%-conf.int. 0.01954 - 0.03784)"
0102: avg_line: "9 ROUGE-3 Average_F: 0.02777 (95%-conf.int. 0.01923 - 0.03796)"
0149: avg_line: "9 ROUGE-4 Average_R: 0.01189 (95%-conf.int. 0.00674 - 0.01875)"
0150: avg_line: "9 ROUGE-4 Average_P: 0.01190 (95%-conf.int. 0.00698 - 0.01797)"
0151: avg_line: "9 ROUGE-4 Average_F: 0.01186 (95%-conf.int. 0.00683 - 0.01845)"

--- Averages ---
,Averages,a.RECALL,b.PREC,c.F-SCORE
,ROUGE-1,0.30670,0.31478,0.31020
,ROUGE-2,0.08309,0.08492,0.08384
,ROUGE-3,0.02765,0.02800,0.02777
,ROUGE-4,0.01189,0.01190,0.01186
----------------

--- ROUGE-1 ---
,ROUGE-1,a.ROUGE,b.PREC,c.F-SCORE
,D1101-A.M.100.A.9,0.34649,0.35909,0.35268
,D1102-A.M.100.A.9,0.25,0.27119,0.26016
,D1103-A.M.100.A.9,0.35573,0.39474,0.37422
,D1104-A.M.100.A.9,0.42857,0.45492,0.44135
,D1105-A.M.100.A.9,0.40833,0.40164,0.40496
,D1106-A.M.100.A.9,0.30677,0.30078,0.30375
,D1107-A.M.100.B.9,0.22,0.24123,0.23013
,D1108-A.M.100.B.9,0.33333,0.34322,0.3382
,D1109-A.M.100.B.9,0.34746,0.33065,0.33885
,D1110-A.M.100.B.9,0.26493,0.27734,0.27099
,D1111-A.M.100.B.9,0.38767,0.41509,0.40091
,D1112-A.M.100.C.9,0.4,0.34426,0.37004
,D1113-A.M.100.C.9,0.23913,0.26442,0.25114
,D1114-A.M.100.C.9,0.23629,0.25455,0.24508
,D1115-A.M.100.C.9,0.44583,0.37676,0.4084
,D1116-A.M.100.C.9,0.28571,0.31633,0.30024
,D1117-A.M.100.C.9,0.26531,0.27083,0.26804
,D1118-A.M.100.D.9,0.30392,0.28182,0.29245
,D1119-A.M.100.D.9,0.26695,0.28636,0.27631
,D1120-A.M.100.D.9,0.23605,0.275,0.25404
,D1121-A.M.100.D.9,0.292,0.32589,0.30802
,D1122-A.M.100.D.9,0.33937,0.34091,0.34014
,D1123-A.M.100.D.9,0.34247,0.30738,0.32398
,D1124-A.M.100.E.9,0.37705,0.39655,0.38655
,D1125-A.M.100.E.9,0.23643,0.28241,0.25738
,D1126-A.M.100.E.9,0.48165,0.46875,0.47511
,D1127-A.M.100.E.9,0.22881,0.25472,0.24107
,D1128-A.M.100.E.9,0.29583,0.33491,0.31416
,D1129-A.M.100.E.9,0.25909,0.27941,0.26887
,D1130-A.M.100.F.9,0.37281,0.35417,0.36325
,D1131-A.M.100.F.9,0.19149,0.21226,0.20134
,D1132-A.M.100.F.9,0.21918,0.20339,0.21099
,D1133-A.M.100.F.9,0.35169,0.35169,0.35169
,D1134-A.M.100.F.9,0.2439,0.28302,0.26201
,D1135-A.M.100.G.9,0.37118,0.34274,0.35639
,D1136-A.M.100.G.9,0.23552,0.24597,0.24063
,D1137-A.M.100.G.9,0.287,0.30189,0.29426
,D1138-A.M.100.G.9,0.23109,0.25,0.24017
,D1139-A.M.100.G.9,0.36,0.38136,0.37037
,D1140-A.M.100.H.9,0.23361,0.23361,0.23361
,D1141-A.M.100.H.9,0.24,0.2619,0.25047
,D1142-A.M.100.H.9,0.33632,0.3178,0.3268
,D1143-A.M.100.H.9,0.35043,0.35965,0.35498
,D1144-A.M.100.H.9,0.30165,0.30417,0.3029
----------------

--- ROUGE-2 ---
,ROUGE-2,a.ROUGE,b.PREC,c.F-SCORE
,D1101-A.M.100.A.9,0.13839,0.14352,0.14091
,D1102-A.M.100.A.9,0.03175,0.03448,0.03306
,D1103-A.M.100.A.9,0.11245,0.125,0.11839
,D1104-A.M.100.A.9,0.13333,0.14167,0.13737
,D1105-A.M.100.A.9,0.12712,0.125,0.12605
,D1106-A.M.100.A.9,0.05668,0.05556,0.05611
,D1107-A.M.100.B.9,0.04878,0.05357,0.05106
,D1108-A.M.100.B.9,0.10879,0.11207,0.11041
,D1109-A.M.100.B.9,0.09914,0.09426,0.09664
,D1110-A.M.100.B.9,0.06818,0.07143,0.06977
,D1111-A.M.100.B.9,0.16592,0.17788,0.17169
,D1112-A.M.100.C.9,0.1068,0.09167,0.09866
,D1113-A.M.100.C.9,0.04425,0.04902,0.04651
,D1114-A.M.100.C.9,0.06009,0.06481,0.06236
,D1115-A.M.100.C.9,0.22458,0.18929,0.20543
,D1116-A.M.100.C.9,0.05634,0.0625,0.05926
,D1117-A.M.100.C.9,0.07469,0.07627,0.07547
,D1118-A.M.100.D.9,0.07,0.06481,0.06731
,D1119-A.M.100.D.9,0.04741,0.05093,0.04911
,D1120-A.M.100.D.9,0.06987,0.08163,0.07529
,D1121-A.M.100.D.9,0.08943,0.1,0.09442
,D1122-A.M.100.D.9,0.07834,0.0787,0.07852
,D1123-A.M.100.D.9,0.08372,0.075,0.07912
,D1124-A.M.100.E.9,0.14583,0.15351,0.14957
,D1125-A.M.100.E.9,0.06693,0.08019,0.07296
,D1126-A.M.100.E.9,0.23364,0.22727,0.23041
,D1127-A.M.100.E.9,0.03879,0.04327,0.04091
,D1128-A.M.100.E.9,0.11441,0.12981,0.12162
,D1129-A.M.100.E.9,0.04167,0.045,0.04327
,D1130-A.M.100.F.9,0.07589,0.07203,0.07391
,D1131-A.M.100.F.9,0.03896,0.04327,0.041
,D1132-A.M.100.F.9,0.03256,0.03017,0.03132
,D1133-A.M.100.F.9,0.09914,0.09914,0.09914
,D1134-A.M.100.F.9,0.06612,0.07692,0.07111
,D1135-A.M.100.G.9,0.09333,0.08607,0.08955
,D1136-A.M.100.G.9,0.03922,0.04098,0.04008
,D1137-A.M.100.G.9,0.03653,0.03846,0.03747
