Generating tableized rouge results from
input file: "results/D3_rouge_scores.out"
local time: 2018-05-17 22:24:33 

note: printing 'average' lines for table validation

0002: avg_line: "9 ROUGE-1 Average_R: 0.22264 (95%-conf.int. 0.19958 - 0.24554)"
0003: avg_line: "9 ROUGE-1 Average_P: 0.25731 (95%-conf.int. 0.23247 - 0.28204)"
0004: avg_line: "9 ROUGE-1 Average_F: 0.23795 (95%-conf.int. 0.21448 - 0.26143)"
0053: avg_line: "9 ROUGE-2 Average_R: 0.05216 (95%-conf.int. 0.04343 - 0.06074)"
0054: avg_line: "9 ROUGE-2 Average_P: 0.06041 (95%-conf.int. 0.05039 - 0.07064)"
0055: avg_line: "9 ROUGE-2 Average_F: 0.05579 (95%-conf.int. 0.04659 - 0.06496)"
0104: avg_line: "9 ROUGE-3 Average_R: 0.01429 (95%-conf.int. 0.01035 - 0.01874)"
0105: avg_line: "9 ROUGE-3 Average_P: 0.01670 (95%-conf.int. 0.01202 - 0.02171)"
0106: avg_line: "9 ROUGE-3 Average_F: 0.01535 (95%-conf.int. 0.01113 - 0.02001)"
0155: avg_line: "9 ROUGE-4 Average_R: 0.00501 (95%-conf.int. 0.00267 - 0.00798)"
0156: avg_line: "9 ROUGE-4 Average_P: 0.00574 (95%-conf.int. 0.00311 - 0.00904)"
0157: avg_line: "9 ROUGE-4 Average_F: 0.00533 (95%-conf.int. 0.00289 - 0.00845)"

--- Averages ---
,Averages,a.RECALL,b.PREC,c.F-SCORE
,ROUGE-1,0.22264,0.25731,0.23795
,ROUGE-2,0.05216,0.06041,0.05579
,ROUGE-3,0.01429,0.01670,0.01535
,ROUGE-4,0.00501,0.00574,0.00533
----------------

--- ROUGE-1 ---
,ROUGE-1,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.23868,0.30851,0.26914
,D1002-A.M.100.A.9,0.20084,0.26667,0.22912
,D1003-A.M.100.A.9,0.12987,0.19231,0.15504
,D1004-A.M.100.A.9,0.28512,0.31944,0.30131
,D1005-A.M.100.A.9,0.21721,0.2598,0.2366
,D1006-A.M.100.A.9,0.2069,0.26471,0.23226
,D1007-A.M.100.B.9,0.25778,0.25,0.25383
,D1008-A.M.100.B.9,0.21774,0.24107,0.22881
,D1009-A.M.100.B.9,0.30088,0.34,0.31925
,D1010-A.M.100.B.9,0.276,0.29237,0.28395
,D1011-A.M.100.C.9,0.08621,0.125,0.10204
,D1012-A.M.100.C.9,0.34959,0.37069,0.35983
,D1013-A.M.100.C.9,0.10843,0.14362,0.12357
,D1014-A.M.100.C.9,0.09623,0.115,0.10478
,D1015-A.M.100.C.9,0.12453,0.17553,0.1457
,D1016-A.M.100.C.9,0.30942,0.31944,0.31435
,D1017-A.M.100.D.9,0.22857,0.25,0.23881
,D1018-A.M.100.D.9,0.24268,0.27358,0.25721
,D1019-A.M.100.D.9,0.35833,0.39815,0.37719
,D1020-A.M.100.D.9,0.14876,0.17647,0.16143
,D1021-A.M.100.D.9,0.32203,0.38776,0.35185
,D1022-A.M.100.D.9,0.2887,0.31364,0.30065
,D1023-A.M.100.E.9,0.20248,0.2402,0.21973
,D1024-A.M.100.E.9,0.22917,0.28061,0.25229
,D1025-A.M.100.E.9,0.29204,0.34375,0.31579
,D1026-A.M.100.E.9,0.04274,0.04808,0.04525
,D1027-A.M.100.E.9,0.3254,0.36607,0.34454
,D1028-A.M.100.E.9,0.25,0.29412,0.27027
,D1029-A.M.100.F.9,0.225,0.22131,0.22314
,D1030-A.M.100.F.9,0.07143,0.08333,0.07692
,D1031-A.M.100.F.9,0.1102,0.10887,0.10953
,D1032-A.M.100.F.9,0.28244,0.37755,0.32314
,D1033-A.M.100.F.9,0.35537,0.33077,0.34263
,D1034-A.M.100.F.9,0.11523,0.11667,0.11595
,D1035-A.M.100.G.9,0.19919,0.25521,0.22375
,D1036-A.M.100.G.9,0.18367,0.25568,0.21377
,D1037-A.M.100.G.9,0.21759,0.22596,0.2217
,D1038-A.M.100.G.9,0.15686,0.26316,0.19656
,D1039-A.M.100.G.9,0.31429,0.36321,0.33698
,D1040-A.M.100.G.9,0.27234,0.34043,0.3026
,D1041-A.M.100.H.9,0.08268,0.09545,0.08861
,D1042-A.M.100.H.9,0.29148,0.28017,0.28571
,D1043-A.M.100.H.9,0.2839,0.31019,0.29646
,D1044-A.M.100.H.9,0.24051,0.285,0.26087
,D1045-A.M.100.H.9,0.31102,0.37264,0.33905
,D1046-A.M.100.H.9,0.20866,0.21721,0.21285
----------------

--- ROUGE-2 ---
,ROUGE-2,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.05439,0.07065,0.06146
,D1002-A.M.100.A.9,0.02979,0.03977,0.03406
,D1003-A.M.100.A.9,0.03084,0.04605,0.03694
,D1004-A.M.100.A.9,0.07983,0.08962,0.08444
,D1005-A.M.100.A.9,0.0625,0.075,0.06818
,D1006-A.M.100.A.9,0.02724,0.035,0.03064
,D1007-A.M.100.B.9,0.04525,0.04386,0.04454
,D1008-A.M.100.B.9,0.03689,0.04091,0.0388
,D1009-A.M.100.B.9,0.09009,0.10204,0.09569
,D1010-A.M.100.B.9,0.08943,0.09483,0.09205
,D1011-A.M.100.C.9,0.00439,0.00641,0.00521
,D1012-A.M.100.C.9,0.06612,0.07018,0.06809
,D1013-A.M.100.C.9,0.01633,0.02174,0.01865
,D1014-A.M.100.C.9,0.00426,0.0051,0.00464
,D1015-A.M.100.C.9,0.04981,0.07065,0.05843
,D1016-A.M.100.C.9,0.06849,0.07075,0.0696
,D1017-A.M.100.D.9,0.0249,0.02727,0.02603
,D1018-A.M.100.D.9,0.05957,0.06731,0.0632
,D1019-A.M.100.D.9,0.10593,0.11792,0.1116
,D1020-A.M.100.D.9,0.02521,0.03,0.0274
,D1021-A.M.100.D.9,0.09483,0.11458,0.10377
,D1022-A.M.100.D.9,0.04255,0.0463,0.04435
,D1023-A.M.100.E.9,0.03782,0.045,0.0411
,D1024-A.M.100.E.9,0.02966,0.03646,0.03271
,D1025-A.M.100.E.9,0.07207,0.08511,0.07805
,D1026-A.M.100.E.9,0.00435,0.0049,0.00461
,D1027-A.M.100.E.9,0.10484,0.11818,0.11111
,D1028-A.M.100.E.9,0.05508,0.065,0.05963
,D1029-A.M.100.F.9,0.05932,0.05833,0.05882
,D1030-A.M.100.F.9,0.00403,0.00472,0.00435
,D1031-A.M.100.F.9,0.02075,0.02049,0.02062
,D1032-A.M.100.F.9,0.06589,0.08854,0.07555
,D1033-A.M.100.F.9,0.09244,0.08594,0.08907
,D1034-A.M.100.F.9,0.0,0.0,0.0
,D1035-A.M.100.G.9,0.06198,0.07979,0.06977
,D1036-A.M.100.G.9,0.0083,0.01163,0.00969
,D1037-A.M.100.G.9,0.03302,0.03431,0.03365
,D1038-A.M.100.G.9,0.05179,0.08784,0.06516
,D1039-A.M.100.G.9,0.10373,0.12019,0.11136
,D1040-A.M.100.G.9,0.09524,0.11957,0.10603
,D1041-A.M.100.H.9,0.016,0.01852,0.01717
,D1042-A.M.100.H.9,0.09589,0.09211,0.09396
,D1043-A.M.100.H.9,0.10776,0.11792,0.11261
,D1044-A.M.100.H.9,0.06438,0.07653,0.06993
,D1045-A.M.100.H.9,0.076,0.09135,0.08297
,D1046-A.M.100.H.9,0.036,0.0375,0.03673
----------------

--- ROUGE-3 ---
,ROUGE-3,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.02128,0.02778,0.0241
,D1002-A.M.100.A.9,0.00433,0.00581,0.00496
,D1003-A.M.100.A.9,0.0,0.0,0.0
,D1004-A.M.100.A.9,0.02137,0.02404,0.02263
,D1005-A.M.100.A.9,0.02542,0.03061,0.02777
,D1006-A.M.100.A.9,0.0,0.0,0.0
,D1007-A.M.100.B.9,0.0,0.0,0.0
,D1008-A.M.100.B.9,0.00417,0.00463,0.00439
,D1009-A.M.100.B.9,0.03211,0.03646,0.03415
,D1010-A.M.100.B.9,0.06198,0.06579,0.06383
,D1011-A.M.100.C.9,0.0,0.0,0.0
,D1012-A.M.100.C.9,0.0084,0.00893,0.00866
,D1013-A.M.100.C.9,0.0,0.0,0.0
,D1014-A.M.100.C.9,0.0,0.0,0.0
,D1015-A.M.100.C.9,0.01167,0.01667,0.01373
,D1016-A.M.100.C.9,0.0186,0.01923,0.01891
,D1017-A.M.100.D.9,0.0,0.0,0.0
,D1018-A.M.100.D.9,0.01732,0.01961,0.01839
,D1019-A.M.100.D.9,0.03879,0.04327,0.04091
,D1020-A.M.100.D.9,0.00855,0.0102,0.0093
,D1021-A.M.100.D.9,0.03947,0.04787,0.04327
,D1022-A.M.100.D.9,0.00433,0.00472,0.00452
,D1023-A.M.100.E.9,0.00855,0.0102,0.0093
,D1024-A.M.100.E.9,0.0,0.0,0.0
,D1025-A.M.100.E.9,0.01835,0.02174,0.0199
,D1026-A.M.100.E.9,0.0,0.0,0.0
,D1027-A.M.100.E.9,0.0082,0.00926,0.0087
,D1028-A.M.100.E.9,0.01724,0.02041,0.01869
,D1029-A.M.100.F.9,0.01293,0.01271,0.01282
,D1030-A.M.100.F.9,0.0,0.0,0.0
,D1031-A.M.100.F.9,0.00422,0.00417,0.00419
,D1032-A.M.100.F.9,0.02362,0.03191,0.02715
,D1033-A.M.100.F.9,0.02137,0.01984,0.02058
,D1034-A.M.100.F.9,0.0,0.0,0.0
,D1035-A.M.100.G.9,0.01261,0.0163,0.01422
,D1036-A.M.100.G.9,0.0,0.0,0.0
,D1037-A.M.100.G.9,0.0,0.0,0.0
,D1038-A.M.100.G.9,0.02429,0.04167,0.03069
,D1039-A.M.100.G.9,0.03376,0.03922,0.03629
