Generating tableized rouge results from
input file: "results/D3_rouge_scores.out"
local time: 2018-05-17 22:14:41 

note: printing 'average' lines for table validation

0002: avg_line: "9 ROUGE-1 Average_R: 0.24838 (95%-conf.int. 0.22894 - 0.26796)"
0003: avg_line: "9 ROUGE-1 Average_P: 0.26058 (95%-conf.int. 0.24084 - 0.27975)"
0004: avg_line: "9 ROUGE-1 Average_F: 0.25382 (95%-conf.int. 0.23446 - 0.27265)"
0053: avg_line: "9 ROUGE-2 Average_R: 0.06342 (95%-conf.int. 0.05319 - 0.07363)"
0054: avg_line: "9 ROUGE-2 Average_P: 0.06612 (95%-conf.int. 0.05563 - 0.07680)"
0055: avg_line: "9 ROUGE-2 Average_F: 0.06462 (95%-conf.int. 0.05420 - 0.07519)"
0104: avg_line: "9 ROUGE-3 Average_R: 0.01810 (95%-conf.int. 0.01314 - 0.02414)"
0105: avg_line: "9 ROUGE-3 Average_P: 0.01879 (95%-conf.int. 0.01361 - 0.02508)"
0106: avg_line: "9 ROUGE-3 Average_F: 0.01840 (95%-conf.int. 0.01336 - 0.02452)"
0155: avg_line: "9 ROUGE-4 Average_R: 0.00597 (95%-conf.int. 0.00275 - 0.00995)"
0156: avg_line: "9 ROUGE-4 Average_P: 0.00618 (95%-conf.int. 0.00288 - 0.01021)"
0157: avg_line: "9 ROUGE-4 Average_F: 0.00607 (95%-conf.int. 0.00281 - 0.01012)"

--- Averages ---
,Averages,a.RECALL,b.PREC,c.F-SCORE
,ROUGE-1,0.24838,0.26058,0.25382
,ROUGE-2,0.06342,0.06612,0.06462
,ROUGE-3,0.01810,0.01879,0.01840
,ROUGE-4,0.00597,0.00618,0.00607
----------------

--- ROUGE-1 ---
,ROUGE-1,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.25926,0.27632,0.26752
,D1002-A.M.100.A.9,0.30962,0.34906,0.32816
,D1003-A.M.100.A.9,0.24675,0.21923,0.23218
,D1004-A.M.100.A.9,0.31405,0.32759,0.32068
,D1005-A.M.100.A.9,0.26639,0.27083,0.26859
,D1006-A.M.100.A.9,0.19157,0.21552,0.20284
,D1007-A.M.100.B.9,0.29778,0.27917,0.28817
,D1008-A.M.100.B.9,0.18952,0.20259,0.19584
,D1009-A.M.100.B.9,0.23451,0.265,0.24882
,D1010-A.M.100.B.9,0.3,0.30242,0.30121
,D1011-A.M.100.C.9,0.14224,0.14474,0.14348
,D1012-A.M.100.C.9,0.2561,0.29167,0.27273
,D1013-A.M.100.C.9,0.1245,0.155,0.13809
,D1014-A.M.100.C.9,0.13808,0.13306,0.13552
,D1015-A.M.100.C.9,0.16604,0.18966,0.17707
,D1016-A.M.100.C.9,0.30045,0.2839,0.29194
,D1017-A.M.100.D.9,0.23265,0.25,0.24101
,D1018-A.M.100.D.9,0.19247,0.23,0.20957
,D1019-A.M.100.D.9,0.32083,0.37019,0.34375
,D1020-A.M.100.D.9,0.17355,0.19091,0.18182
